ticket_id,customer_id,opened_date,category,priority,resolved,csat_score
TCK-00180,cust_0033,2026-07-17,Account Access,Low,true,5
TCK-00221,cust_0009,2026-07-17,Playback Quality,Critical,true,3
TCK-00222,cust_0030,2026-07-17,Playback Quality,Medium,true,3
TCK-00223,cust_0064,2026-07-17,Playback Quality,High,false,1
TCK-00224,cust_0111,2026-07-17,Playback Quality,Medium,true,3
TCK-00227,cust_0125,2026-07-17,Playback Quality,High,true,2
TCK-00228,cust_0010,2026-07-17,Playback Quality,Critical,true,1
TCK-00115,cust_0051,2026-07-19,Content Request,Medium,true,
TCK-00057,cust_0133,2026-07-20,Playback Quality,Critical,true,
TCK-00205,cust_0019,2026-07-20,Content Request,Low,true,
TCK-00002,cust_0087,2026-07-21,Content Request,Low,true,
TCK-00080,cust_0044,2026-07-21,Billing,Medium,false,
TCK-00087,cust_0126,2026-07-21,Billing,Medium,true,
TCK-00104,cust_0014,2026-07-21,Billing,High,true,
TCK-00199,cust_0083,2026-07-21,Billing,Low,true,4
TCK-00040,cust_0028,2026-07-22,Account Access,Low,true,1
TCK-00082,cust_0044,2026-07-22,Account Access,Medium,true,5
TCK-00204,cust_0045,2026-07-22,Other,Medium,true,
TCK-00211,cust_0110,2026-07-22,Content Request,Medium,true,4
TCK-00023,cust_0117,2026-07-23,Content Request,Medium,true,1
TCK-00077,cust_0053,2026-07-23,Playback Quality,Medium,false,
TCK-00091,cust_0036,2026-07-23,Billing,Medium,true,2
TCK-00209,cust_0085,2026-07-24,Playback Quality,Low,true,
TCK-00027,cust_0132,2026-07-25,Account Access,Critical,true,
TCK-00030,cust_0087,2026-07-25,Account Access,Medium,false,
TCK-00096,cust_0104,2026-07-25,Billing,Medium,true,
TCK-00160,cust_0123,2026-07-25,Other,Low,true,
TCK-00178,cust_0079,2026-07-25,Billing,Low,true,1
TCK-00058,cust_0047,2026-07-26,Other,Medium,true,
TCK-00127,cust_0052,2026-07-26,Playback Quality,Medium,false,
TCK-00185,cust_0116,2026-07-26,Account Access,Medium,true,
TCK-00213,cust_0098,2026-07-26,Other,Low,false,
TCK-00235,cust_0099,2026-07-26,Billing,Critical,false,
TCK-00086,cust_0087,2026-07-27,Playback Quality,Low,false,
TCK-00147,cust_0078,2026-07-27,Playback Quality,Medium,true,
TCK-00192,cust_0117,2026-07-28,Playback Quality,Medium,true,3
TCK-00198,cust_0009,2026-07-28,Billing,Medium,true,
TCK-00003,cust_0136,2026-07-29,Other,Low,true,
TCK-00010,cust_0073,2026-07-29,Other,Medium,true,
TCK-00064,cust_0105,2026-07-29,Other,Medium,true,4
TCK-00084,cust_0142,2026-07-29,Billing,High,false,
TCK-00095,cust_0088,2026-07-29,Other,High,true,3
TCK-00124,cust_0136,2026-07-29,Playback Quality,Low,true,4
TCK-00015,cust_0150,2026-07-30,Other,Critical,true,1
TCK-00076,cust_0147,2026-07-30,Other,High,true,4
TCK-00105,cust_0026,2026-07-30,Billing,Medium,true,
TCK-00181,cust_0029,2026-07-30,Playback Quality,Low,false,
TCK-00031,cust_0131,2026-07-31,Content Request,High,true,
TCK-00046,cust_0089,2026-07-31,Billing,Low,false,
TCK-00141,cust_0025,2026-07-31,Playback Quality,Medium,false,
TCK-00001,cust_0149,2026-08-01,Other,Medium,true,3
TCK-00120,cust_0105,2026-08-01,Billing,Low,false,
TCK-00143,cust_0029,2026-08-01,Content Request,Medium,true,
TCK-00152,cust_0068,2026-08-01,Account Access,Medium,true,3
TCK-00168,cust_0076,2026-08-01,Billing,Low,false,
TCK-00193,cust_0086,2026-08-01,Billing,High,true,
TCK-00089,cust_0060,2026-08-02,Account Access,Critical,true,
TCK-00101,cust_0019,2026-08-02,Account Access,Medium,true,2
TCK-00212,cust_0027,2026-08-02,Playback Quality,High,false,
